state,zip_code,locations,active_locations,inactive_locations,unknown_status_locations,kroger_banner_locations,brands
AL,36863,1,1,0,0,1,1
AR,72015,1,1,0,0,1,1
AR,72019,1,1,0,0,1,1
AR,72023,1,1,0,0,1,1
AR,72032,1,1,0,0,1,1
AR,72034,1,1,0,0,1,1
AR,72076,1,1,0,0,1,1
AR,72113,1,1,0,0,1,1
AR,72118,1,1,0,0,1,1
AR,72206,1,1,0,0,1,1
AR,72207,1,1,0,0,1,1
AR,72209,1,1,0,0,1,1
AR,72227,1,1,0,0,1,1
AR,72301,1,1,0,0,1,1
AR,72315,1,1,0,0,1,1
AR,72401,1,1,0,0,1,1
AR,72501,1,1,0,0,1,1
AR,72801,1,1,0,0,1,1
AZ,85004,1,1,0,0,0,1
AZ,85009,1,1,0,0,0,1
AZ,85013,1,1,0,0,0,1
AZ,85018,1,1,0,0,0,1
AZ,85020,1,1,0,0,0,1
AZ,85021,1,1,0,0,0,1
AZ,85022,1,1,0,0,0,1
AZ,85023,1,1,0,0,0,1
AZ,85028,1,1,0,0,0,1
AZ,85033,1,1,0,0,0,1
AZ,85037,1,1,0,0,0,1
AZ,85043,1,1,0,0,0,1
AZ,85044,1,1,0,0,0,1
AZ,85048,1,1,0,0,0,1
AZ,85086,1,1,0,0,0,1
AZ,85119,1,1,0,0,0,1
AZ,85139,1,1,0,0,0,1
AZ,85140,1,1,0,0,0,1
AZ,85143,1,1,0,0,0,1
AZ,85201,1,1,0,0,0,1
AZ,85203,1,1,0,0,0,1
AZ,85204,1,1,0,0,0,1
AZ,85205,1,1,0,0,0,1
AZ,85208,1,1,0,0,0,1
AZ,85209,1,1,0,0,0,1
AZ,85210,1,1,0,0,0,1
AZ,85215,1,1,0,0,0,1
AZ,85224,1,1,0,0,0,1
AZ,85225,1,1,0,0,0,1
AZ,85255,1,1,0,0,0,1
AZ,85257,1,1,0,0,0,1
AZ,85268,1,1,0,0,0,1
AZ,85284,1,1,0,0,0,1
AZ,85286,1,1,0,0,0,1
AZ,85296,1,1,0,0,0,1
AZ,85298,1,1,0,0,0,1
AZ,85302,1,1,0,0,0,1
AZ,85303,1,1,0,0,0,1
AZ,85306,1,1,0,0,0,1
AZ,85310,1,1,0,0,0,1
AZ,85323,1,1,0,0,0,1
AZ,85338,1,1,0,0,0,1
AZ,85339,1,1,0,0,0,1
AZ,85340,1,1,0,0,0,1
AZ,85345,1,1,0,0,0,1
AZ,85351,1,1,0,0,0,1
AZ,85364,1,1,0,0,0,1
AZ,85367,1,1,0,0,0,1
AZ,85374,1,1,0,0,0,1
AZ,85375,1,1,0,0,0,1
AZ,85379,1,1,0,0,0,1
AZ,85381,1,1,0,0,0,1
AZ,85387,1,1,0,0,0,1
AZ,85396,1,1,0,0,0,1
AZ,85539,1,1,0,0,0,1
AZ,85629,1,1,0,0,0,1
AZ,85635,1,1,0,0,0,1
AZ,85653,1,1,0,0,0,1
AZ,85658,1,1,0,0,0,1
AZ,85705,1,1,0,0,0,1
AZ,85711,1,1,0,0,0,1
AZ,85712,1,1,0,0,0,1
AZ,85713,1,1,0,0,0,1
AZ,85714,1,1,0,0,0,1
AZ,85719,1,1,0,0,0,1
AZ,85730,1,1,0,0,0,1
AZ,85741,1,1,0,0,0,1
AZ,85743,1,1,0,0,0,1
AZ,85746,1,1,0,0,0,1
AZ,85747,1,1,0,0,0,1
AZ,86001,1,1,0,0,0,1
AZ,86301,1,1,0,0,0,1
AZ,86305,1,1,0,0,0,1
AZ,86314,1,1,0,0,0,1
AZ,86326,1,1,0,0,0,1
AZ,86403,1,1,0,0,0,1
AZ,86409,1,1,0,0,0,1
AZ,86426,1,1,0,0,0,1
AZ,86442,1,1,0,0,0,1
CA,90002,1,1,0,0,0,1
CA,90005,1,1,0,0,0,1
CA,90007,1,1,0,0,0,1
CA,90015,1,1,0,0,0,1
CA,90016,1,1,0,0,0,1
CA,90017,1,1,0,0,0,1
CA,90018,1,1,0,0,0,1
CA,90019,1,1,0,0,0,1
CA,90020,1,1,0,0,0,1
CA,90023,1,1,0,0,0,1
CA,90024,1,1,0,0,0,1
CA,90025,1,1,0,0,0,1
CA,90027,1,1,0,0,0,1
CA,90032,1,1,0,0,0,1
CA,90033,1,1,0,0,0,1
CA,90037,1,1,0,0,0,1
CA,90038,1,1,0,0,0,1
CA,90042,1,1,0,0,0,1
CA,90044,1,1,0,0,0,1
CA,90046,1,1,0,0,0,1
CA,90048,1,1,0,0,0,1
CA,90059,1,1,0,0,0,1
CA,90201,1,1,0,0,0,1
CA,90220,1,1,0,0,0,1
CA,90230,1,1,0,0,0,1
CA,90232,1,1,0,0,0,1
CA,90240,1,1,0,0,0,1
CA,90241,1,1,0,0,0,1
CA,90242,1,1,0,0,0,1
CA,90245,1,1,0,0,0,1
CA,90247,1,1,0,0,0,1
CA,90248,1,1,0,0,0,1
CA,90255,1,1,0,0,0,1
CA,90262,1,1,0,0,0,1
CA,90265,1,1,0,0,0,1
CA,90266,1,1,0,0,0,1
CA,90270,1,1,0,0,0,1
CA,90275,1,1,0,0,0,1
CA,90278,1,1,0,0,0,1
CA,90291,1,1,0,0,0,1
CA,90302,1,1,0,0,0,1
CA,90404,1,1,0,0,0,1
CA,90501,1,1,0,0,0,1
CA,90502,1,1,0,0,0,1
CA,90601,1,1,0,0,0,1
CA,90606,1,1,0,0,0,1
CA,90630,1,1,0,0,0,1
CA,90660,1,1,0,0,0,1
CA,90703,1,1,0,0,0,1
CA,90713,1,1,0,0,0,1
CA,90716,1,1,0,0,0,1
CA,90732,1,1,0,0,0,1
CA,90740,1,1,0,0,0,1
CA,90744,1,1,0,0,0,1
CA,90745,1,1,0,0,0,1
CA,90755,1,1,0,0,0,1
CA,90803,1,1,0,0,0,1
CA,90804,1,1,0,0,0,1
CA,90805,1,1,0,0,0,1
CA,90807,1,1,0,0,0,1
CA,90814,1,1,0,0,0,1
CA,90815,1,1,0,0,0,1
CA,91006,1,1,0,0,0,1
CA,91011,1,1,0,0,0,1
CA,91030,1,1,0,0,0,1
CA,91040,1,1,0,0,0,1
CA,91101,1,1,0,0,0,1
CA,91104,1,1,0,0,0,1
CA,91105,1,1,0,0,0,1
CA,91107,1,1,0,0,0,1
CA,91202,1,1,0,0,0,1
CA,91205,1,1,0,0,0,1
CA,91206,1,1,0,0,0,1
CA,91214,1,1,0,0,0,1
CA,91301,1,1,0,0,0,1
CA,91302,1,1,0,0,0,1
CA,91303,1,1,0,0,0,1
CA,91306,1,1,0,0,0,1
CA,91307,1,1,0,0,0,1
CA,91311,1,1,0,0,0,1
CA,91316,1,1,0,0,0,1
CA,91320,1,1,0,0,0,1
CA,91326,1,1,0,0,0,1
CA,91335,1,1,0,0,0,1
CA,91342,1,1,0,0,0,1
CA,91343,1,1,0,0,0,1
CA,91351,1,1,0,0,0,1
CA,91352,1,1,0,0,0,1
CA,91354,1,1,0,0,0,1
CA,91355,1,1,0,0,0,1
CA,91360,1,1,0,0,0,1
CA,91362,1,1,0,0,0,1
CA,91381,1,1,0,0,0,1
CA,91384,1,1,0,0,0,1
CA,91401,1,1,0,0,0,1
CA,91402,1,1,0,0,0,1
CA,91405,1,1,0,0,0,1
CA,91502,1,1,0,0,0,1
CA,91504,1,1,0,0,0,1
CA,91505,1,1,0,0,0,1
CA,91601,1,1,0,0,0,1
CA,91605,1,1,0,0,0,1
CA,91701,1,1,0,0,0,1
CA,91706,1,1,0,0,0,1
CA,91730,1,1,0,0,0,1
CA,91732,1,1,0,0,0,1
CA,91744,1,1,0,0,0,1
CA,91761,1,1,0,0,0,1
CA,91762,1,1,0,0,0,1
CA,91766,1,1,0,0,0,1
CA,91780,1,1,0,0,0,1
CA,91791,1,1,0,0,0,1
CA,91910,1,1,0,0,0,1
CA,91945,1,1,0,0,0,1
CA,91950,1,1,0,0,0,1
CA,92009,1,1,0,0,0,1
CA,92011,1,1,0,0,0,1
CA,92019,1,1,0,0,0,1
CA,92021,1,1,0,0,0,1
CA,92024,1,1,0,0,0,1
CA,92025,1,1,0,0,0,1
CA,92027,1,1,0,0,0,1
CA,92037,1,1,0,0,0,1
CA,92057,1,1,0,0,0,1
CA,92071,1,1,0,0,0,1
CA,92078,1,1,0,0,0,1
CA,92083,1,1,0,0,0,1
CA,92101,1,1,0,0,0,1
CA,92103,1,1,0,0,0,1
CA,92106,1,1,0,0,0,1
CA,92109,1,1,0,0,0,1
CA,92110,1,1,0,0,0,1
CA,92111,1,1,0,0,0,1
CA,92114,1,1,0,0,0,1
CA,92127,1,1,0,0,0,1
CA,92128,1,1,0,0,0,1
CA,92130,1,1,0,0,0,1
CA,92139,1,1,0,0,0,1
CA,92223,1,1,0,0,0,1
CA,92231,1,1,0,0,0,1
CA,92234,1,1,0,0,0,1
CA,92236,1,1,0,0,0,1
CA,92243,1,1,0,0,0,1
CA,92260,1,1,0,0,0,1
CA,92262,1,1,0,0,0,1
CA,92264,1,1,0,0,0,1
CA,92311,1,1,0,0,0,1
CA,92324,1,1,0,0,0,1
CA,92335,1,1,0,0,0,1
CA,92336,1,1,0,0,0,1
CA,92346,1,1,0,0,0,1
CA,92373,1,1,0,0,0,1
CA,92376,1,1,0,0,0,1
CA,92401,1,1,0,0,0,1
CA,92407,1,1,0,0,0,1
CA,92506,1,1,0,0,0,1
CA,92553,1,1,0,0,0,1
